ZCTA,population,median_income,pct_bachelors,unemployment,rent_burden,pct_seniors,score_income,score_education,score_employment,score_housing,score_seniors,overall_score,cluster,cluster_name,z_score,income_quintile
01001,16136,71924.0,35.6,5.2,28.0,23.3,22.325939427186096,34.63203463203463,76.68161434977578,72.0,63.70716510903427,50.34653289566377,1,Moderate-High,-0.5533028243584922,Lowest 20%
01002,24726,69411.0,73.9,6.0,56.5,16.0,21.214199131134922,76.08225108225109,73.09417040358744,43.5,75.0778816199377,55.15073479605777,3,Needs Improvement,-0.11743525610591611,Lowest 20%
01005,4786,97390.0,35.5,2.3,50.8,16.1,33.59198732978827,34.52380952380952,89.68609865470852,49.2,74.9221183800623,52.29838078234738,1,Moderate-High,-0.37621884462442995,Middle 20%
01007,15406,99056.0,45.9,1.6,31.9,20.0,34.32901850098654,45.77922077922077,92.82511210762331,68.1,68.84735202492212,59.096817444068705,1,Moderate-High,0.24057830859692378,Middle 20%
01008,1324,90625.0,28.5,0.6,12.1,26.2,30.59918068323586,26.948051948051944,97.30941704035874,87.9,59.19003115264797,57.3476946811585,1,Moderate-High,0.0818868337065005,Low 20%
01009,790,70763.0,38.1,8.9,46.5,5.8,21.81231806478442,37.33766233766234,60.0896860986547,53.5,90.96573208722742,46.60200552906538,3,Needs Improvement,-0.8930300197123368,Lowest 20%
01010,3694,101477.0,43.5,2.7,54.8,21.8,35.40005839622725,43.18181818181818,87.89237668161435,45.2,66.04361370716512,52.868305851550744,1,Moderate-High,-0.32451163931745086,Middle 20%
01011,1205,87012.0,22.9,2.2,42.7,16.5,29.00080516010299,20.88744588744588,90.13452914798206,57.3,74.29906542056075,49.388875133539706,1,Moderate-High,-0.6401875907878523,Low 20%
01012,387,75526.0,27.7,4.8,51.4,19.6,23.919448598048152,26.08225108225108,78.47533632286995,48.6,69.47040498442367,44.86253268309117,3,Needs Improvement,-1.0508459931321859,Lowest 20%
01013,22950,64039.0,23.2,6.8,36.0,15.5,18.837649640332327,21.212121212121207,69.50672645739911,64.0,75.85669781931465,44.29945778652468,3,Needs Improvement,-1.1019317074712065,Lowest 20%
01020,30230,70971.0,22.9,6.1,40.2,21.4,21.904336362268957,20.88744588744588,72.6457399103139,59.8,66.66666666666667,43.85376021115816,3,Needs Improvement,-1.1423682091792509,Lowest 20%
01022,2045,56307.0,28.6,11.1,83.8,27.6,15.417046389609009,27.056277056277057,50.224215246636774,16.200000000000003,57.009345794392516,29.604108490238126,3,Needs Improvement,-2.435186698663255,Lowest 20%
01026,1005,98438.0,54.0,0.8,35.0,29.0,34.05561798249882,54.54545454545454,96.41255605381166,65.0,54.82866043613708,59.91564538636439,1,Moderate-High,0.3148675560984517,Middle 20%
01027,17678,73657.0,41.5,5.3,33.3,24.1,23.092611107670255,41.01731601731601,76.23318385650224,66.7,62.46105919003115,50.86022447155013,1,Moderate-High,-0.5066974770696824,Lowest 20%
01028,16283,100997.0,46.5,3.6,38.9,21.5,35.18770847895524,46.42857142857142,83.85650224215246,61.1,66.51090342679127,56.04646076799128,1,Moderate-High,-0.03616933321135272,Middle 20%
01029,652,99188.0,34.9,3.0,100.0,29.9,34.387414728236344,33.87445887445887,86.54708520179372,0.0,53.426791277258566,39.717564568758405,2,Moderate-Low,-1.5176300266149068,Middle 20%
01030,12374,92485.0,33.9,3.7,29.7,19.6,31.422036612664904,32.79220779220779,83.40807174887892,70.3,69.47040498442367,53.74221594943633,1,Moderate-High,-0.2452249904350378,Low 20%
01031,1715,58125.0,22.0,2.2,53.7,13.6,16.221321701276754,19.91341991341991,90.13452914798206,46.3,78.81619937694704,44.202211170965285,3,Needs Improvement,-1.11075453522147,Lowest 20%
01032,503,79583.0,48.8,0.0,76.0,32.0,25.71424779465763,48.91774891774891,100.0,24.0,50.1557632398754,48.47357550208917,2,Moderate-Low,-0.7232293598171902,Low 20%
01033,6088,110188.0,37.4,3.4,100.0,22.0,39.253766999053276,36.58008658008657,84.75336322869957,0.0,65.73208722741433,42.48234476326631,2,Moderate-Low,-1.2667916886103745,Middle 20%
01034,2100,103603.0,36.8,5.1,23.3,20.6,36.340591571477866,35.93073593073592,77.13004484304933,76.7,67.91277258566979,55.6251181027303,1,Moderate-High,-0.07439620350448113,Middle 20%
01035,5299,117580.0,63.2,3.6,30.9,24.3,42.52395572504225,64.5021645021645,83.85650224215246,69.1,62.149532710280376,63.56278377626021,1,Moderate-High,0.6457590077991259,High 20%
01036,4937,110703.0,37.7,6.6,62.2,27.4,39.4816007644597,36.9047619047619,70.4035874439462,37.8,57.32087227414331,46.469395383508974,2,Moderate-Low,-0.9050612504698431,Middle 20%
01037,486,84022.0,35.1,0.0,0.0,45.7,27.678042133762755,34.090909090909086,100.0,100.0,28.81619937694704,58.32385774386266,1,Moderate-High,0.17045051799378141,Low 20%
01038,2534,112083.0,55.7,2.7,21.0,24.7,40.09210677661674,56.38528138528138,87.89237668161435,79.0,61.52647975077882,63.650470351875285,1,Moderate-High,0.6537144882876964,Middle 20%
01039,1660,115114.0,57.7,5.0,20.8,23.8,41.43300802505729,58.549783549783555,77.57847533632287,79.2,62.92834890965733,62.64422785194053,1,Moderate-High,0.5624218072946294,Middle 20%
01040,37949,51892.0,24.3,6.9,39.7,18.6,13.463869546367487,22.4025974025974,69.05829596412556,60.3,71.02803738317756,41.94107966838409,3,Needs Improvement,-1.3158986798604644,Lowest 20%
01050,2573,96328.0,31.6,3.0,41.0,18.7,33.12216313782395,30.303030303030305,86.54708520179372,59.0,70.87227414330218,52.05294281490252,1,Moderate-High,-0.3984865286737351,Low 20%
01053,2033,88646.0,53.7,10.0,31.0,35.1,29.723679670149792,54.220779220779214,55.15695067264574,69.0,45.32710280373832,50.35021513763523,2,Moderate-Low,-0.5529687480879495,Low 20%
01054,1704,113750.0,67.5,7.2,62.7,33.0,40.82958034347599,69.15584415584415,67.71300448430495,37.3,48.598130841121495,53.358770105803174,2,Moderate-Low,-0.28001362148887293,Middle 20%
01056,20846,78981.0,25.3,4.2,42.2,22.4,25.44792560674565,23.484848484848484,81.16591928251121,57.8,65.10903426791278,46.53728080619206,1,Moderate-High,-0.8989022557568509,Low 20%
01057,8200,90436.0,29.1,9.2,25.1,23.0,30.515567903310004,27.5974025974026,58.744394618834086,74.9,64.17445482866044,47.674567031811016,3,Needs Improvement,-0.7957204595198876,Low 20%
01060,15237,75077.0,68.5,5.0,40.8,17.5,23.720812946266623,70.23809523809524,77.57847533632287,59.20000000000001,72.74143302180686,58.11956541553573,1,Moderate-High,0.15191582644528245,Lowest 20%
01062,9188,87800.0,51.9,3.6,51.1,26.4,29.349412940957876,52.27272727272727,83.85650224215246,48.9,58.8785046728972,52.84468596914151,2,Moderate-Low,-0.3266545843729617,Low 20%
01068,1623,96207.0,38.9,3.1,14.0,20.3,33.06863326284496,38.2034632034632,86.09865470852017,86.0,68.38006230529595,59.075761288810675,1,Moderate-High,0.23866796107628488,Low 20%
01069,9077,79725.0,24.8,4.2,41.8,23.8,25.777067978517266,22.943722943722943,81.16591928251121,58.20000000000001,62.92834890965733,46.34621647802803,1,Moderate-High,-0.9162368195040231,Low 20%
01070,593,72083.0,47.1,0.7,11.8,29.5,22.39628033728245,47.077922077922075,96.8609865470852,88.2,54.04984423676012,59.785732336894185,1,Moderate-High,0.30308102294874983,Lowest 20%
01071,1219,107292.0,29.6,2.3,34.5,14.6,37.97258916484547,28.138528138528134,89.68609865470852,65.5,77.25856697819314,55.29085575460442,1,Moderate-High,-0.10472259691106817,Middle 20%
01072,1447,103188.0,65.4,9.1,26.9,24.3,36.156997372169776,66.88311688311688,59.19282511210763,73.1,62.149532710280376,58.433546857271224,1,Moderate-High,0.18040220780957597,Middle 20%
01073,6212,125534.0,41.1,1.7,31.9,21.8,46.04277081250387,40.58441558441558,92.37668161434978,68.1,66.04361370716512,60.35649429281633,1,Moderate-High,0.35486415590959947,High 20%
01074,749,76859.0,3.6,18.5,31.2,12.0,24.509162014138965,0.0,17.04035874439462,68.8,81.30841121495327,31.426203373908997,3,Needs Improvement,-2.2698747316524703,Lowest 20%
01075,17410,93646.0,50.2,3.4,35.7,23.2,31.93565797506658,50.43290043290043,84.75336322869957,64.3,63.862928348909655,56.78910508262263,1,Moderate-High,0.031208053960577666,Low 20%
